Name,mach,aoa-deg,beta,vx,vy,vz,temp,dens,pres,visc,sos,velocity,drag_coeff,Iterations,drag_force,lift_coeff,lift_force,moment,roll_mom,yaw_mom,q,sideforce,Last Updated
Case_22,5.731209743,-5.007686132,0.997170269,0.996032131,-0.017403026,-0.08727616,288.15,1.225,101325,0.0000179,340.2626486,1950.1166,0.127107111,13144,1924.378142,-0.721281168,-10920.06339,-4775.558168,26.73665827,-821.330983,-23116.54137,-2070.0489,
Case_23,5.186904671,7.918930314,4.460266513,0.987464382,-0.077767735,0.137354558,288.15,1.225,101325,0.0000179,340.2626486,1764.90992,0.096783443,17187,1200.177726,1.051469254,13038.90352,4017.196593,7.667096841,-1975.895534,-18811.12185,-4623.1573,
Case_24,6.586569359,4.727177068,3.582084866,0.994651367,-0.062478455,0.082250228,288.15,1.225,101325,0.0000179,340.2626486,2241.16353,0.076725343,13225,1534.211868,0.44570111,8912.3086,2344.156809,16.19072304,-2234.465408,-30377.48144,-5324.1432,
Case_25,7.76873151,4.163448965,1.671757574,0.996936481,-0.029173534,0.072571057,288.15,1.225,101325,0.0000179,340.2626486,2643.4091,0.063383235,13431,1763.204092,0.334144915,9295.29212,2251.573189,11.49104195,-1294.617159,-42046.45401,-3018.1949,
Case_26,6.934838339,-2.951792038,0.135128745,0.998670439,-0.002358439,-0.05149556,288.15,1.225,101325,0.0000179,340.2626486,2359.66646,0.096468225,15014,2138.380239,-0.428378476,-9495.728427,-4533.113714,4.901177313,-132.9345377,-33586.96618,-321.14967,
Case_27,7.061453338,8.841193162,0.607231779,0.988062643,-0.010597995,0.153687658,288.15,1.225,101325,0.0000179,340.2626486,2402.74881,0.063996375,13461,1470.860632,1.021360348,23474.43465,7391.64267,1.64314306,-456.7892113,-34397.79624,-962.16322,
Case_28,6.444290998,3.123008522,3.785759723,0.996336023,-0.066025905,0.054360916,288.15,1.225,101325,0.0000179,340.2626486,2192.75152,0.082051727,15014,1570.601386,0.236469287,4526.400627,804.504236,41.62855426,-2313.520906,-29214.84403,-5531.1999,
Case_29,5.653707146,-1.274687281,3.364114348,0.998029738,-0.058681142,-0.022207321,288.15,1.225,101325,0.0000179,340.2626486,1923.74536,0.110003396,15014,1620.69268,-0.28191248,-4153.448993,-2165.380019,75.22197044,-2104.034091,-22627.5393,-5207.0283,
Case_3,5.96747696,-5.426515009,1.479678374,0.995186348,-0.025822389,-0.094537489,288.15,1.225,101325,0.0000179,340.2626486,2030.50951,0.126481567,15014,2076.044694,-0.760609444,-12484.50066,-5444.320867,42.26983952,-1322.532796,-24958.44857,-3343.1662,
Case_30,7.953191842,-8.79637507,1.888305996,0.987701408,-0.032951191,-0.152840271,288.15,1.225,101325,0.0000179,340.2626486,2706.17412,0.13515276,15014,3940.359039,-1.025144722,-29887.94519,-13134.3455,93.70902577,-2919.976388,-43293.76994,-7320.1812,
